url,username,Date,Tweet,hashtag,mentions,likeCount,retweetCount,replyCount
https://twitter.com/AeternusPolaris/status/1623471436886310912,AeternusPolaris,2023-02-08 23:58:47+00:00,"Mexican K9 units are guided and protected by Frida 🙏 Resist Turkey, resist Syria!   ","['deprem', 'PrayForTurkey', 'PrayforSyria']",none,28,9,2
https://twitter.com/paqui_repa/status/1623471188587446273,paqui_repa,2023-02-08 23:57:48+00:00,🙏🙏Difundir🙏🙏❤️🇪🇸🇹🇷    ,"['KeremBürsın', 'HandeErçel', 'PrayForTurkeyAndSyria', 'TurkeySyriaEarthquake', 'deprem', 'gecmisolsunturkiyem']",none,1,0,0
https://twitter.com/iyiki_demet/status/1623470968130633731,iyiki_demet,2023-02-08 23:56:56+00:00," via cinematographer sahin_okan 🎬🤲""The contact and location information of full-fledged mobile kitchen trucks, which normally serve the film industry, located in the earthquake zone are below. Please spread as much as possible"" 👇❤️‍🩹   ","['DemetÖzdemir', 'deprem']","['', 'ahbap']",19,14,0
https://twitter.com/atasoyemrahh/status/1623470874601955332,atasoyemrahh,2023-02-08 23:56:33+00:00,Please raise awareness about the situation in Turkey  and  and support through fundraising campaigns! AHBAP is a good platform to donate to :          ,"['deprem', 'earthquake', 'turkey', 'türkiye', 'oxford']","['', 'UniofOxford,', 'OxDiplo,', 'TORCHOxford,', 'Languages_OHS,', 'OxfordTurkish']",2,1,0
https://twitter.com/esmer_Hndm/status/1623470826182914048,esmer_Hndm,2023-02-08 23:56:22+00:00,Amin🤲🏼  ,['deprem'],none,1,1,0
https://twitter.com/paqui_repa/status/1623470773967982594,paqui_repa,2023-02-08 23:56:09+00:00,🙏🙏Difundir🙏   ,"['KeremBürsın', 'HandeErçel', 'PrayForTurkeyAndSyria', 'TurkeySyriaEarthquake', 'deprem', 'gecmisolsunturkiyem']",none,2,0,0
https://twitter.com/EMSC/status/1623470571181711362,EMSC,2023-02-08 23:55:21+00:00, ( M2.8 strikes 13 km W of  ( 9 min ago. More info: ,"['Earthquake', 'deprem', 'Çağlayancerit', 'Turkey']",none,3,2,0
https://twitter.com/0Ze_ze/status/1623470423378722816,0Ze_ze,2023-02-08 23:54:46+00:00,Amin.🤲 ,['deprem'],none,2,1,0
https://twitter.com/kalmel7/status/1623470317757927424,kalmel7,2023-02-08 23:54:21+00:00,What a wonderful result and an amazing job after such an effort. These debris can collapse anytime so the rescuers take a big risk to save lives.   ,"['Turkey', 'Deprem']",none,86,14,4
https://twitter.com/iyiki_demet/status/1623470119560134657,iyiki_demet,2023-02-08 23:53:33+00:00," shares the notice of the tugceicyuz food delivery aid:""Food is distributed behind the District Governor's building. 📍Iskenderun Bor apartment no.8""   ","['DemetÖzdemir', 'deprem']","['', 'ahbap']",15,5,0
https://twitter.com/Louribursin/status/1623469919886053377,Louribursin,2023-02-08 23:52:46+00:00,Please donate!!! It's our turn to help them!!!🙏❤  ,"['HelpTurkey', 'deprem', 'earthquakeinturkey']",none,13,11,0
https://twitter.com/omc345/status/1623469630021947392,omc345,2023-02-08 23:51:37+00:00,The real time visualization of the people in the rubble in Turkey. I can't imagine how many lives it touched already 😢Huge shout out to the volunteer developers that built this in snap 🙌🏼   ,['deprem'],"['', 'eserozvataf']",10,2,0
https://twitter.com/EMSC/status/1623469531468296194,EMSC,2023-02-08 23:51:13+00:00, ( M3.4 strikes 4 km NE of  ( 25 min ago. More info: ,"['Earthquake', 'deprem', 'Göksun', 'Turkey']",none,3,1,0
https://twitter.com/ninatypewriter/status/1623469006828044292,ninatypewriter,2023-02-08 23:49:08+00:00,EARTHQUAKE⚡️ Follow my listsUse web if mobile lists don't workTURKEY SYRIA KURDISTAN MIDDLE EAST HUMANITARIAN  ,"['ChefsForTurkiye', 'depremoldu', 'deprem']","['', 'WCKitchen']",3,1,0
https://twitter.com/EMSC/status/1623468897331560449,EMSC,2023-02-08 23:48:42+00:00, ( M2.6 strikes 28 km SW of  ( 26 min ago. More info: ,"['Earthquake', 'deprem', 'Afşin', 'Turkey']",none,4,1,0
https://twitter.com/EMSC/status/1623468579424182272,EMSC,2023-02-08 23:47:26+00:00, ( M3.7 strikes 40 km S of  ( 7 min ago. More info: ,"['Earthquake', 'deprem', 'Bingöl', 'Turkey']",none,14,2,0
https://twitter.com/bylerspage/status/1623467770716250115,bylerspage,2023-02-08 23:44:13+00:00,thank you so so so so much millie ❤️🙏🏻 PLEASE PAY ATTENTION AND MAKE OUR VOICES HEARD IN THE WORLD !!! WE NEED YOUR HELP !!!     ,"['HelpTurkey', 'earthquake', 'Turkey', 'deprem']",none,5,1,0
https://twitter.com/LastQuake/status/1623467633310896131,LastQuake,2023-02-08 23:43:41+00:00,🔔 ( M3.6 occurred 26 km E of  ( 29 min ago (local time 02:14:28). More info at:📱🌐🖥 ,"['Earthquake', 'deprem', 'Bahçe', 'Turkey']",none,15,5,2
https://twitter.com/EMSC/status/1623467470731313152,EMSC,2023-02-08 23:43:02+00:00, ( M3.4 strikes 37 km SW of  ( 27 min ago. More info: ,"['Earthquake', 'deprem', 'Afşin', 'Turkey']",none,2,1,0
https://twitter.com/EMSC/status/1623467361813528580,EMSC,2023-02-08 23:42:36+00:00, ( M3.6 strikes 35 km S of  ( 28 min ago. More info: ,"['Earthquake', 'deprem', 'Kahramanmaraş', 'Turkey']",none,3,1,0
https://twitter.com/iyiki_demet/status/1623467300249534464,iyiki_demet,2023-02-08 23:42:21+00:00," notice of refuge points enabled:""Apart from our hotels in Adıyaman, Şanlıurfa &amp; Gaziantep, which are currently out of service due to the conditions of the provinces, we've opened the doors of our 14 hotels in  to our earthquake victims""   📍👇 ","['DemetÖzdemir', 'Turkey', 'deprem']","['', 'ahbap']",9,4,0
